title,skills,imageURL,category,altRoute
Design Internship Program,UX DESIGN • UX RESEARCH,c1.png,"design, research",
Spin Dashboard,UX DESIGN • UX RESEARCH,spinlogo.jpeg,"design, research",
Eachday,UX DESIGN • UX RESEARCH • GAME DESIGN,eachday.png,"games, design",
Heuristicats,UX DESIGN • GAME DESIGN • PROGRAMMING,heuristicats.png,games,
Amos,UX RESEARCH,amoslogo.png,research,
