title,skills,imageURL,category,altRoute
The Contrarian Press,GAME DESIGN • NARRATIVE DESIGN,TCP.png,games,https://scottking.itch.io/the-contrarian-press
Dimensional Rift,GAME DESIGN • PROGRAMMING • PRODUCTION,DR.png,games,
Space Shank,GAME DESIGN • PROGRAMMING,spaceshank.jpg,games,
Player-Programmed Partner Games,GAME DESIGN • RESEARCH,OHLab.png,"games, research",
Tanks In Advance,GAME DESIGN • LEVEL DESIGN • ART,TIA.png,games,
Escape Dartist VR,LEVEL DESIGN • 3D ART,escape_dartist.svg,games,
Fitsaber,RESEARCH • GAME DESIGN,fitsaber.png,"games, research",
